"NAME_1","GID_1"
"Amazonas","PER.1_1"
"Ancash","PER.2_1"
"Apurimac","PER.3_1"
"Arequipa","PER.4_1"
"Ayacucho","PER.5_1"
"Cajamarca","PER.6_1"
"Callao","PER.7_1"
"Cusco","PER.8_1"
"Huancavelica","PER.9_1"
"Huanuco","PER.10_1"
"Ica","PER.11_1"
"Junin","PER.12_1"
"La Libertad","PER.13_1"
"Lambayeque","PER.14_1"
"Lima","PER.16_1"
"Lima Province","PER.15_1"
"Loreto","PER.17_1"
"Madre de Dios","PER.18_1"
"Moquegua","PER.19_1"
"Pasco","PER.20_1"
"Piura","PER.21_1"
"Puno","PER.22_1"
"San Martin","PER.23_1"
"Tacna","PER.24_1"
"Tumbes","PER.25_1"
"Ucayali","PER.26_1"
"Sin Informacion","Sin Informacion"
"Callao, Provincia Consitucional del","PER.7_1"
