"","CHL.1_1","CHL.2_1","CHL.3_1","CHL.4_1","CHL.5_1","CHL.6_1","CHL.7_1","CHL.8_1","CHL.9_1","CHL.10_1","CHL.11_1","CHL.12_1","CHL.13_1","CHL.14_1","CHL.15_1","CHL.16_1"
"CHL.1_1",0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
"CHL.2_1",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
"CHL.3_1",0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"CHL.4_1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"CHL.5_1",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"CHL.6_1",0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"CHL.7_1",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"CHL.8_1",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
"CHL.9_1",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"CHL.10_1",0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"CHL.11_1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CHL.12_1",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
"CHL.13_1",0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
"CHL.14_1",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"CHL.15_1",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"CHL.16_1",0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0
