"","CUB.1_1","CUB.2_1","CUB.3_1","CUB.4_1","CUB.5_1","CUB.6_1","CUB.7_1","CUB.8_1","CUB.9_1","CUB.10_1","CUB.11_1","CUB.12_1","CUB.13_1","CUB.14_1","CUB.15_1","CUB.16_1"
"CUB.1_1",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"CUB.2_1",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"CUB.3_1",0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
"CUB.4_1",0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
"CUB.5_1",0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
"CUB.6_1",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
"CUB.7_1",0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0
"CUB.8_1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CUB.9_1",0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
"CUB.10_1",1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"CUB.11_1",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
"CUB.12_1",0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
"CUB.13_1",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"CUB.14_1",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"CUB.15_1",0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
"CUB.16_1",0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
