"","Atlantida","Choluteca","Colon","Comayagua","Copan","Cortes","El Paraiso","Francisco Morazan","Gracias a Dios","Intibuca","Islas de la Bahia","La Paz","Lempira","Ocotepeque","Olancho","Santa Barbara","Valle","Yoro"
"Atlantida",0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"Choluteca",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0
"Colon",1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
"Comayagua",0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,1
"Copan",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
"Cortes",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"El Paraiso",0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"Francisco Morazan",0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,1
"Gracias a Dios",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Intibuca",0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0
"Islas de la Bahia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"La Paz",0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0
"Lempira",0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0
"Ocotepeque",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"Olancho",0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1
"Santa Barbara",0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0
"Valle",0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"Yoro",1,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0
