"","PRY.1_1","PRY.2_1","PRY.3_1","PRY.4_1","PRY.5_1","PRY.6_1","PRY.7_1","PRY.8_1","PRY.9_1","PRY.10_1","PRY.11_1","PRY.12_1","PRY.13_1","PRY.14_1","PRY.15_1","PRY.16_1","PRY.17_1","PRY.18_1"
"PRY.1_1",0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
"PRY.2_1",0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0
"PRY.3_1",0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
"PRY.4_1",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
"PRY.5_1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"PRY.6_1",0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,1
"PRY.7_1",0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0
"PRY.8_1",0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"PRY.9_1",0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0
"PRY.10_1",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"PRY.11_1",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1
"PRY.12_1",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0
"PRY.13_1",0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"PRY.14_1",0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0
"PRY.15_1",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
"PRY.16_1",0,0,0,0,0,1,1,0,1,0,1,1,0,1,1,0,0,0
"PRY.17_1",1,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1
"PRY.18_1",0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,1,0
